route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
35,12-1-127,1582791263,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791264,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791265,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791266,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791267,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791268,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791269,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791270,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791271,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791272,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791273,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791274,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791275,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791276,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791277,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791278,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791279,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791280,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791281,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791282,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791283,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791284,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791285,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791286,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791287,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791288,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791289,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791290,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791291,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791292,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791293,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791294,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791295,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791296,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791297,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791298,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791299,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791300,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791301,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
35,12-1-127,1582791302,CASTELNAU LE LEZ - Les Aires,0,,,
41,12-1-127,1582791303,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791304,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791305,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791306,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791307,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791308,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791309,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791310,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791311,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791312,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791313,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791314,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791315,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791316,CASTELNAU LE LEZ - Clinique du Parc,0,,,
41,12-1-127,1582791317,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791318,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791319,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791320,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791321,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791322,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791323,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791324,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791325,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791326,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791327,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791328,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791329,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
41,12-1-127,1582791330,CASTELNAU LE LEZ - Charles de Gaulle,1,,,
25,12-1-127,1582791331,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791332,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791333,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791334,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791335,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791336,JUVIGNAC - Le Martinet,1,,,
25,12-1-127,1582791337,JUVIGNAC - Courpouyran,0,,,
25,12-1-127,1582791338,JUVIGNAC - Courpouyran,0,,,
